Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Existing_Loan,Property_Owner,Dependents,Loan_Status
35,533151,697,653451,180,1,1,0,1,0
44,1309670,430,1063834,240,1,0,1,3,1
24,779221,777,538546,36,1,1,1,0,1
32,1577483,729,963672,24,1,1,1,2,1
57,1474859,813,474846,360,1,1,0,3,1
57,587238,698,121410,12,1,1,1,0,1
26,834843,681,784789,36,1,0,0,1,1
59,370656,411,560082,180,1,1,0,0,0
44,1214493,526,368473,360,1,0,0,3,1
31,683576,759,875219,120,1,0,0,3,1
33,1791985,586,498055,180,1,1,1,4,1
54,697931,468,988528,36,0,1,1,0,0
45,1741414,728,944177,24,1,1,1,3,1
27,1644882,410,597043,60,1,1,1,3,1
24,1449749,702,1023044,36,1,1,1,2,1
28,660002,422,1096432,180,1,1,0,1,0
40,401980,736,296203,24,1,0,1,3,1
49,862746,826,602644,36,1,0,1,3,1
30,1452698,732,687814,36,0,0,1,0,1
54,922826,608,547452,360,0,0,0,0,1
46,1220644,614,127260,36,1,1,0,3,1
23,1340391,522,845559,60,1,1,1,4,1
26,1344941,822,485920,24,1,1,0,1,1
25,448455,472,914637,240,1,0,1,0,1
25,799845,609,1064975,360,1,1,0,3,0
43,750615,710,637329,180,1,1,1,3,1
29,649152,673,412324,12,0,0,0,2,0
55,452935,493,1122977,180,1,0,1,4,1
40,1289130,825,1131890,240,1,1,0,1,1
55,1097809,635,486729,360,0,1,1,0,1
38,1169463,553,271350,120,1,1,1,3,1
37,822377,673,641893,360,1,0,0,3,1
44,3357033,200,4179909,60,1,1,0,1,1
23,619631,527,146867,120,0,1,0,0,0
52,974660,632,734879,120,0,1,1,3,1
55,1797743,440,233159,360,0,1,0,3,0
58,891927,825,536034,240,1,0,0,1,1
33,1714149,688,929803,12,1,0,1,1,1
45,1609213,442,992425,36,1,1,1,2,1
29,736196,669,1031231,12,1,0,1,4,1
24,1587552,838,284968,360,0,0,0,2,1
34,1511698,713,1035394,120,0,0,0,4,1
57,958281,793,720008,60,1,0,0,4,1
54,1680990,427,240798,120,1,1,0,0,1
31,1696013,669,135370,120,1,1,1,2,1
23,1278324,809,884371,12,1,0,0,0,1
48,585282,473,485532,24,1,0,1,1,1
49,512645,544,268251,120,1,0,0,1,1
29,8618371,231,7179970,24,1,1,0,4,1
23,1654539,645,223398,240,0,0,0,3,1
45,1699347,669,1191541,36,1,1,0,4,1
54,558312,809,1172489,120,1,0,0,4,1
32,5636234,238,4905680,240,0,0,1,0,1
29,1091744,610,893810,12,1,0,0,4,1
35,850261,679,877303,180,1,0,1,1,1
45,1272809,622,514093,36,1,1,0,2,1
25,1508621,759,108989,60,1,1,0,4,1
31,1655110,469,1139284,120,0,1,0,1,0
54,1084313,419,154169,12,1,1,1,4,1
44,612100,822,204722,240,1,0,1,3,1
35,661523,520,859168,240,1,1,1,1,1
58,1624783,572,1173963,240,1,0,1,4,1
28,656450,433,720952,120,1,0,1,3,1
25,917484,805,894662,360,1,1,0,0,1
46,775135,470,899058,12,0,0,0,1,0
38,833893,432,152602,12,0,0,1,3,1
26,920473,661,1145143,24,1,0,1,1,1
57,1451332,671,1102051,120,1,0,0,1,1
33,1464927,508,527320,12,1,1,0,0,1
48,1053455,422,226745,12,1,0,0,4,1
25,1081215,545,817748,360,0,1,1,0,1
33,1065962,413,470464,36,1,0,1,1,1
37,508976,705,821187,120,0,0,0,0,0
52,1683684,716,119769,180,1,0,1,3,1
49,482277,435,1101038,180,1,0,0,4,0
23,1757609,670,93627,36,0,0,0,4,1
54,1695168,660,271431,24,0,1,1,4,1
47,763069,452,1123006,24,0,1,1,1,0
33,1438473,447,344021,360,1,1,1,1,1
53,852016,410,670109,12,1,0,0,4,1
26,424826,657,344158,12,1,1,0,0,0
44,357858,742,758832,12,0,1,1,4,0
39,480161,679,174024,120,0,1,0,1,0
36,1051964,609,661038,120,1,0,0,0,1
48,1085968,723,287482,180,1,1,1,2,1
53,1039617,734,1197342,60,0,1,0,0,0
33,1246468,411,695359,12,1,0,1,1,1
45,1052425,842,422756,180,1,1,0,0,1
56,639136,650,1085592,36,1,1,0,3,0
47,1185691,722,1176847,180,0,0,0,1,1
58,678329,559,862971,60,1,1,1,4,1
27,1784032,435,727627,120,1,1,1,1,1
25,1563097,548,706136,120,1,1,1,0,1
51,548422,767,487435,12,1,0,0,2,1
43,921965,597,443839,360,1,0,1,4,1
30,5666319,250,5542600,36,1,1,0,0,1
52,1338625,777,218615,36,1,1,0,0,1
50,1299168,645,605615,180,1,1,0,0,1
59,1528084,792,242646,24,1,1,0,0,1
51,864501,603,425529,12,1,0,1,2,1
38,1090716,443,532370,120,1,1,1,1,1
56,4354014,209,7765631,12,0,1,1,2,1
22,1181563,807,935879,180,1,1,0,1,1
34,569275,782,915164,12,1,0,1,4,1
33,867670,718,1125668,24,0,1,1,0,1
49,1309237,605,953321,24,1,0,1,0,1
32,1251031,640,1120249,60,1,1,1,0,1
59,1567141,440,179980,12,1,1,0,3,1
22,1510584,475,746998,120,1,0,1,0,1
52,387081,601,200913,180,1,0,0,3,1
33,1402017,762,68737,180,1,0,1,2,1
47,747814,785,1067487,24,1,1,0,1,1
37,836939,494,218842,60,1,0,1,3,1
51,585151,427,792610,60,1,0,0,2,0
54,1052304,543,933485,180,0,0,1,4,1
44,1555378,458,1150680,60,1,1,0,1,1
55,587179,528,164507,360,0,0,1,3,1
26,1175784,741,235287,240,1,0,1,2,1
39,781818,400,1189707,120,0,1,1,4,0
50,901037,686,256384,180,1,1,1,1,1
27,676193,421,723615,240,0,0,1,3,0
30,1174580,625,698258,240,1,0,1,1,1
52,846499,603,545727,360,1,1,1,1,1
54,1375442,586,536506,24,1,1,1,4,1
48,1585588,774,582505,360,1,0,1,3,1
35,1355920,683,878013,36,1,0,0,4,1
50,1155169,771,948113,240,1,0,1,4,1
57,632432,731,255516,240,1,1,0,1,1
49,1456455,426,888244,120,1,1,0,0,1
42,1266163,742,385347,180,0,0,0,0,1
24,721501,528,494109,12,1,1,1,4,1
40,1790426,779,352815,36,0,1,0,3,1
52,995649,762,679317,240,1,0,1,1,1
56,1305983,785,867610,240,1,1,0,4,1
24,1628727,494,182917,120,1,1,1,3,1
47,1635977,465,652253,360,1,0,1,0,1
37,1378360,576,675350,24,0,1,0,4,0
32,1392797,674,1049954,60,0,0,0,2,1
42,1353272,555,631017,360,1,0,1,4,1
37,655675,822,499685,240,1,1,1,3,1
30,334635,418,270933,120,1,0,0,3,0
21,620687,782,446620,360,1,0,1,4,1
42,1036619,771,795909,12,1,0,0,2,1
46,311817,719,623822,12,0,1,0,0,0
38,820674,457,1152738,12,0,0,0,2,0
34,617402,672,491694,180,0,1,1,2,0
49,1542230,597,710428,360,1,0,0,3,1
32,422475,478,1010916,240,0,1,1,4,0
56,523378,440,927429,36,1,0,0,2,0
55,889487,625,430814,180,0,1,1,4,1
32,1151380,660,349086,60,1,1,1,2,1
27,1406358,644,926852,240,1,0,0,1,1
49,1429335,422,380784,120,1,0,0,3,1
31,504635,596,1112593,36,0,1,0,2,0
53,316291,635,354817,360,1,1,1,1,1
26,1195377,525,833694,120,1,0,0,3,1
35,522047,665,950550,24,0,1,1,3,0
52,911345,723,263942,240,1,1,1,4,1
31,1173586,539,1076612,240,1,1,1,2,1
43,1443111,766,1084360,24,0,1,0,4,1
46,8232868,244,6410693,360,1,0,1,2,1
54,9118104,232,7988003,120,1,1,1,1,1
54,732566,526,1149398,36,1,0,0,2,1
49,1088005,685,571471,360,1,1,1,1,1
24,1084077,513,274318,12,1,1,0,2,0
37,308577,807,397428,36,0,0,1,1,1
55,854236,724,1139760,360,1,0,1,4,1
33,1060427,412,706206,360,0,0,0,2,0
59,377700,627,999896,180,1,1,1,4,1
35,567361,408,1088893,36,1,1,1,3,0
49,1146610,545,1163377,120,1,0,0,0,1
49,1171494,562,261190,36,0,0,1,2,1
31,1506057,622,414517,24,1,0,0,1,1
52,480112,615,954076,120,1,0,0,4,1
22,1295774,787,103539,360,1,1,1,1,1
34,5440726,229,7456432,180,1,1,1,4,1
40,1296570,425,404517,120,1,0,1,0,1
42,509002,524,187983,120,1,0,1,3,1
31,917363,699,171436,36,1,1,1,0,1
47,702885,649,958805,60,0,1,0,1,0
23,1014335,825,624656,180,1,1,1,2,1
37,1246066,409,273305,360,1,0,1,3,1
48,814591,504,128448,180,1,0,0,4,1
49,1177714,505,167399,240,1,1,1,3,1
41,1541111,400,125014,12,1,0,0,2,1
36,608151,581,372645,240,1,0,1,2,1
57,1759920,799,213897,180,1,0,1,1,1
40,930903,701,524923,360,1,1,0,0,1
26,303857,540,365376,12,1,1,0,4,0
39,490091,629,1184799,24,0,1,1,3,0
25,1341399,463,887202,120,1,0,0,2,1
23,1568655,477,1169248,12,1,0,0,0,1
21,574879,631,931058,36,1,1,0,1,0
58,989871,486,165606,180,0,1,1,1,0
35,1679872,582,90353,360,1,0,0,4,1
54,9450968,260,3758399,240,0,1,1,0,1
55,591900,545,999329,36,1,0,1,1,1
45,959254,716,1100079,36,1,1,0,4,1
44,666675,491,837259,180,1,1,1,2,1
32,1522880,522,856047,24,1,1,0,3,1
38,353214,675,364169,120,1,0,0,4,1
35,1323655,848,190881,12,1,1,0,0,1
36,8678299,203,6800737,120,1,1,0,2,1
47,888150,731,960497,120,1,1,0,3,1
28,1045543,618,1075684,36,1,1,0,0,1
45,1082409,591,719307,360,0,0,0,1,1
37,1084256,506,1058125,12,1,1,1,0,1
49,1771828,796,845318,24,0,0,1,3,1
28,1760376,646,561183,120,0,0,1,3,1
35,793663,456,473008,180,1,1,1,0,1
47,590477,444,145586,60,0,1,1,3,0
27,1735081,775,113414,36,0,1,1,0,1
23,1302299,485,1049322,360,1,1,1,2,1
49,339288,437,190510,60,1,1,1,3,0
44,1165020,581,287967,240,1,1,1,3,1
23,940072,563,475975,24,1,1,0,2,0
40,476339,644,428235,360,0,1,1,2,0
35,9906261,224,3897464,240,1,1,0,4,1
45,643802,776,268084,24,1,0,1,1,1
50,671879,525,696195,24,0,0,1,0,1
34,1158886,606,581152,24,1,0,0,3,1
27,658117,666,499375,240,0,1,1,3,0
37,1020658,753,1060128,12,1,0,0,2,1
40,838093,810,377865,240,0,0,0,0,1
56,1782309,486,136177,360,1,0,0,1,1
29,1403292,544,1060886,240,1,1,0,0,1
58,1482519,521,197420,240,1,0,0,4,1
42,599519,497,683232,60,1,1,1,2,1
22,1721135,688,673736,36,1,1,1,2,1
44,1502796,532,212084,240,1,1,0,1,1
28,1391256,778,895657,60,0,0,1,4,1
31,977122,736,423289,12,1,0,0,4,1
33,1268513,717,998124,120,1,0,1,3,1
37,1716628,464,247560,24,1,1,1,0,1
28,1687213,598,609861,120,0,0,1,2,1
41,1793340,524,1188082,240,1,0,1,3,1
38,1737486,745,290783,360,1,1,1,1,1
50,654818,607,246187,24,1,0,0,1,1
38,9166578,226,5349102,36,0,0,0,2,1
51,1539438,699,53386,24,0,1,0,1,1
58,8807210,286,7215990,360,0,1,0,0,1
52,1360385,541,1011341,240,1,0,0,4,1
31,822801,746,616985,24,1,0,1,3,1
45,6073999,227,7195249,180,1,0,1,2,1
53,1063720,703,814737,120,1,1,1,3,1
58,1478882,544,328293,180,1,0,1,4,1
28,1006817,443,1027551,120,1,1,0,1,0
31,1433237,531,933554,120,0,1,0,3,0
42,494080,480,915262,360,1,0,0,0,0
44,1405208,752,847159,12,1,0,1,1,1
37,1415109,429,307519,24,1,0,0,1,1
32,1420465,776,645914,120,1,0,0,0,1
52,908527,740,363696,12,1,1,0,3,1
35,925799,608,198434,180,1,0,1,1,1
36,357942,642,482531,360,0,1,1,4,0
42,1357851,582,530649,360,0,1,0,0,0
48,1106397,557,1116474,180,1,0,1,1,1
40,1446531,545,649563,36,1,1,1,1,1
53,938466,739,591065,36,1,1,1,0,1
30,1757765,753,429462,24,0,0,0,1,1
52,651230,632,1088007,120,0,1,0,4,0
53,687808,491,164791,24,1,0,0,0,1
22,3565459,243,4168301,24,1,0,1,2,1
53,937462,571,181493,240,1,1,1,3,1
53,1185890,589,810080,240,1,1,1,1,1
33,1561213,430,629637,24,0,1,0,0,0
50,1650655,508,621638,12,1,0,1,3,1
53,332784,671,309230,360,1,0,1,3,1
33,724817,494,610832,24,1,0,1,2,1
46,864153,476,435299,180,1,1,1,2,1
42,1707801,550,269720,360,1,1,0,4,1
59,817087,541,402449,36,0,1,0,3,0
22,640845,630,311760,120,1,0,1,2,1
58,711832,657,1045638,240,0,1,0,0,0
59,1098086,795,1127170,60,0,0,0,4,1
46,842118,841,851412,360,1,1,1,3,1
35,709421,527,623689,60,0,0,1,1,1
54,866713,747,422107,60,0,0,0,0,1
31,5678957,218,6485974,120,1,0,0,0,1
23,780910,583,88879,24,1,1,1,0,1
26,1777643,679,840823,180,1,0,1,4,1
29,1602607,692,271421,360,0,1,1,4,1
26,700168,428,135640,120,1,1,1,1,0
29,782977,697,594681,360,0,1,1,1,1
59,1604092,417,120441,120,1,1,1,2,1
51,567535,530,674928,180,0,1,1,1,0
52,773220,668,101736,12,1,1,0,2,1
32,1542116,505,545437,180,0,0,0,0,1
28,315091,556,900175,120,1,1,1,3,0
28,3201212,218,4797240,240,0,1,1,2,1
48,5873352,287,3574629,12,1,1,1,0,1
40,1604241,491,509866,360,0,0,1,1,1
27,1144785,831,1059835,240,1,0,1,0,1
31,636644,659,718370,240,1,0,1,0,1
40,674924,450,530789,240,1,0,1,0,1
36,742850,532,955782,240,1,1,1,3,1
24,589112,566,954636,240,1,1,0,3,0
26,1519853,696,486152,240,1,0,0,2,1
42,1032267,404,228764,36,1,0,1,2,1
46,1046577,535,870345,12,1,0,0,2,1
23,1639005,625,117163,60,1,1,1,3,1
34,665651,583,322194,12,1,0,1,2,1
31,745729,808,165933,240,1,1,0,1,1
38,1364006,490,268753,240,0,0,0,2,1
32,803982,835,951489,36,1,0,1,4,1
43,551707,707,326408,120,1,1,0,0,0
32,964393,790,1054744,360,0,1,0,3,0
33,1499566,588,1085424,60,1,0,0,0,1
45,580400,702,428617,12,1,0,1,1,1
39,479594,782,1148302,180,1,1,1,3,1
56,1019713,737,579792,24,1,0,1,1,1
28,1732666,721,1145748,360,1,1,1,4,1
49,855476,842,276427,180,0,0,1,3,1
52,617278,532,898248,120,1,1,0,2,0
38,1646808,571,114807,60,1,1,0,0,1
26,708195,825,203361,60,0,0,1,0,1
38,1136538,649,887699,12,1,1,0,0,1
39,1481243,460,193343,120,0,1,1,1,1
42,790320,846,681940,120,0,0,0,3,1
57,367824,449,500720,240,1,1,0,0,0
52,1191581,821,544268,24,0,1,1,1,1
23,471503,622,1071213,24,1,1,1,4,1
48,656691,837,360717,60,1,1,1,2,1
30,7289401,245,7620505,180,0,0,0,3,1
55,1104310,807,155285,360,1,1,0,2,1
49,1076654,783,158025,60,0,1,0,3,1
35,822040,718,355353,36,0,0,0,0,1
53,5755667,204,4321921,60,1,1,1,4,1
27,693423,822,1105263,240,1,1,1,2,1
32,1349659,795,393069,24,1,1,0,3,1
50,1531212,590,604440,240,0,1,1,4,1
41,585279,758,283830,12,1,0,0,1,1
51,357109,664,1124451,36,1,0,0,2,1
44,1672074,643,1063592,60,1,0,0,0,1
40,931180,478,740299,24,0,0,1,0,1
57,624377,742,566725,360,1,1,1,1,1
24,8758080,274,3310652,180,1,1,0,1,1
48,775344,421,132943,360,1,0,0,2,1
40,1525860,435,927743,36,1,1,1,1,1
44,515648,729,541789,360,1,1,0,2,1
52,1400164,555,899151,12,0,1,1,4,1
56,427558,455,1079633,12,1,0,1,3,1
54,1688975,754,462220,180,0,0,0,1,1
56,1213758,647,403642,24,0,1,1,4,1
22,1791077,812,1169338,240,1,0,0,1,1
35,1470497,660,841685,360,0,0,1,4,1
54,513630,659,293138,120,0,1,1,4,0
56,1508436,834,583014,240,0,0,0,2,1
26,1221523,414,633240,180,0,0,0,0,0
59,375018,587,937134,240,1,0,0,4,1
32,1395449,425,270187,24,1,0,1,2,1
23,954529,422,791912,24,0,1,1,1,0
38,1227399,780,241330,240,0,0,1,1,1
41,1559319,502,491642,360,1,1,0,1,1
35,1277074,428,1128311,240,1,0,1,3,1
53,1705392,741,1074463,24,1,1,0,3,1
55,1092553,456,615936,120,0,1,0,3,0
46,1447908,461,51286,60,1,1,1,1,1
28,1431021,842,716086,60,1,0,0,1,1
56,630007,447,897972,12,1,1,0,3,0
50,349987,766,1082928,60,1,0,0,2,1
43,1449363,434,275890,24,0,0,0,1,1
34,6092774,215,4423544,240,1,1,1,1,1
34,1777294,432,75916,180,1,0,1,2,1
22,921371,726,576665,60,1,0,0,0,1
57,1194466,625,467987,120,1,1,0,0,1
25,1456982,665,404717,360,1,1,0,3,1
58,1355880,615,1153356,180,1,1,1,2,1
34,959409,616,1042736,360,1,0,0,2,1
59,309495,575,101267,60,1,1,1,3,1
45,1111139,443,828071,24,0,1,1,3,0
40,1279424,618,1012488,60,0,0,0,1,1
22,606688,525,402440,180,0,0,0,0,0
59,986066,769,780777,12,1,0,0,2,1
26,925058,778,613280,60,0,1,0,2,0
37,1775785,718,174542,12,0,0,0,4,1
45,314987,704,1163776,240,1,0,0,1,1
48,450161,599,302372,360,0,1,1,0,0
22,1360041,484,958659,36,1,1,1,0,1
55,1430647,440,531458,120,1,1,0,4,1
57,1119072,610,437182,12,1,0,1,1,1
25,638141,753,972460,180,1,1,0,0,1
21,1360942,438,950203,36,1,0,0,3,1
32,1116327,762,449886,36,0,1,0,1,1
56,1612505,806,634132,24,0,0,0,0,1
43,1354818,668,113137,36,1,1,0,3,1
51,936904,761,803587,120,1,0,0,4,1
31,626543,766,1122049,120,1,1,0,0,1
30,1617076,580,1145874,120,1,0,0,1,1
23,1240733,630,552020,120,1,1,0,2,1
34,1104652,469,857777,360,0,1,1,4,0
36,801109,712,75608,24,1,0,0,2,1
30,1183654,475,817191,60,0,0,1,1,1
49,755066,831,1079018,360,0,0,0,0,1
30,1268204,675,418979,240,1,1,0,0,1
32,1046256,633,846718,180,1,0,1,1,1
50,1452043,717,783996,360,0,1,1,1,1
21,1653100,828,1009809,360,1,1,1,4,1
25,641977,718,139185,180,1,1,1,1,1
40,928296,535,694347,12,1,0,1,1,1
28,1174756,553,296946,24,1,0,0,0,1
32,1214150,693,259033,180,1,0,1,4,1
21,1453568,747,929999,24,0,1,1,0,1
40,1528251,498,234631,12,1,0,1,4,1
48,393593,763,253041,180,1,0,0,2,1
57,942627,760,523152,12,1,0,1,2,1
57,449519,824,266261,60,1,0,0,3,1
32,1432516,762,821754,60,0,0,0,1,1
57,386677,757,1082894,120,0,1,1,0,0
48,1293381,529,148789,240,0,1,0,4,0
35,536729,406,723130,180,1,0,1,3,1
26,767894,782,1148777,60,1,1,1,2,1
40,1462146,504,282300,60,1,1,0,3,1
34,1675303,808,792892,12,0,0,1,0,1
22,5273699,294,5478048,240,1,1,0,3,1
29,381468,449,637227,240,1,0,1,3,1
57,7568486,234,4270270,36,1,0,0,2,1
40,1054233,463,282908,120,1,0,1,3,1
46,337880,795,796570,120,1,0,1,3,1
49,301355,580,336831,24,1,0,1,4,1
21,406360,474,177757,60,1,1,1,2,0
55,5151651,236,5378197,60,1,1,0,0,1
26,512694,588,799375,12,0,0,0,1,0
57,1566699,582,721162,60,1,0,0,0,1
25,1605610,754,506607,24,1,0,0,2,1
53,510828,467,923326,12,1,1,1,3,0
34,1395842,569,1163307,360,0,0,0,2,1
32,1537863,721,218333,240,1,0,0,1,1
40,923426,571,1109476,120,0,0,0,1,0
44,884944,683,754609,60,0,1,0,2,0
54,1402680,506,593748,60,0,1,0,3,0
45,1425420,765,928463,24,1,1,0,1,1
49,300969,510,322102,180,1,1,0,0,0
59,1709616,477,323527,240,1,0,0,2,1
51,3674028,245,2161499,240,1,0,0,2,1
43,1752098,652,547835,240,1,1,0,0,1
58,764657,635,1085839,24,1,0,0,1,1
40,1154399,492,643501,360,1,1,1,1,1
43,766508,529,909613,12,1,0,0,0,1
36,501961,582,750536,120,0,0,0,4,0
28,874405,433,652608,180,1,1,1,1,1
41,906692,803,208117,180,1,1,0,0,1
21,1766117,702,189398,24,1,0,1,2,1
28,1491974,621,322581,24,0,1,0,3,0
49,9987321,277,5927205,120,0,1,1,4,1
52,1623631,783,864209,36,1,0,0,3,1
58,9508158,294,6897453,12,0,0,1,4,1
25,1584179,739,954218,180,1,0,1,3,1
42,625689,400,987359,36,1,0,1,4,1
54,540655,848,1038479,120,1,1,1,4,1
21,1212350,496,942249,180,1,0,0,4,1
46,610748,486,766815,180,1,1,1,0,1
30,1568549,730,233368,360,0,0,1,0,1
50,1685052,651,941827,60,0,0,0,2,1
38,316820,763,1001496,180,1,1,1,2,1
37,900790,414,745940,12,0,1,0,3,0
46,1722991,541,1001459,360,1,0,0,0,1
28,1415921,710,268012,120,0,0,1,0,1
32,470386,784,470324,120,1,1,1,0,1
47,3615209,281,3782596,360,1,1,1,2,1
28,1313689,469,927103,180,1,1,1,1,1
45,1419369,711,750506,360,1,0,0,3,1
24,1298091,678,861453,12,1,0,1,4,1
53,1615629,453,313452,36,1,0,0,2,1
21,314866,745,169733,60,1,0,1,4,1
39,1083834,786,68289,36,1,0,0,3,1
51,544734,701,836406,24,1,1,0,0,0
36,1311567,651,1156249,360,1,1,1,3,1
34,1676717,646,1056724,36,1,0,1,0,1
25,1639180,533,319926,24,1,1,1,4,1
46,348500,643,299157,12,1,0,0,2,1
48,1548417,808,1118638,180,1,0,1,3,1
22,822881,638,735076,24,1,1,1,1,1
26,1080331,416,1039070,120,0,0,1,3,1
29,574272,811,826670,180,1,0,0,3,1
53,1187675,815,160025,360,1,0,0,1,1
45,560731,748,617520,180,0,1,0,3,0
33,7773927,237,2795421,240,1,1,1,4,1
29,1527613,632,1120811,180,0,0,1,4,1
33,1248742,799,166502,240,1,1,0,3,1
51,954676,751,588157,24,0,1,0,0,0
31,1459878,553,711871,360,1,1,0,2,1
24,1004600,816,631197,120,0,0,0,2,1
54,383583,585,252354,120,0,1,0,2,0
58,1286341,831,572430,36,1,1,1,2,1
24,1009649,482,109895,180,0,0,0,0,0
58,884352,454,1049215,180,1,1,1,0,1
39,397119,824,644807,60,1,1,0,0,1
26,1168773,461,922490,180,1,0,1,3,1
54,5811261,282,3213202,36,1,1,0,3,1
38,386891,757,300073,240,1,1,1,3,1
33,781981,458,1028638,360,0,1,1,2,0
43,1025329,541,1035575,240,0,1,1,2,0
39,333033,548,138209,240,1,1,0,3,0
31,663298,846,101527,360,1,1,1,2,1
21,1349954,573,699474,36,0,0,0,0,1
44,1748295,710,822661,240,0,1,1,4,1
27,1454037,461,1196610,120,1,1,0,0,1
45,998134,566,194525,60,1,1,0,1,1
41,943392,569,895438,120,1,0,1,0,1
35,595761,703,575568,180,1,0,1,3,1
21,1484462,502,1031167,60,0,1,0,0,0
32,1013695,427,1128410,24,1,0,0,1,1
27,1634483,483,1029062,240,0,0,1,1,1
35,1489648,533,500174,120,1,1,0,0,1
41,1745066,458,592273,36,1,0,1,3,1
39,1529516,489,188894,120,1,1,1,4,1
49,1664952,469,292234,12,1,0,0,0,1
45,969587,822,733763,12,0,1,0,2,1
53,448351,584,686776,12,1,0,0,2,1
52,1030264,837,501775,36,0,0,1,4,1
55,1544588,459,313086,36,1,0,0,3,1
58,473808,544,348843,240,0,1,0,2,0
46,1703636,567,207853,12,1,1,0,0,1
31,1311008,465,86517,180,1,0,0,1,1
55,702867,770,1057876,240,1,1,1,4,1
28,1170895,523,459589,36,1,1,0,0,1
34,307771,612,229723,360,1,0,1,3,1
30,641140,581,645096,180,0,0,0,2,0
22,1680893,470,386438,36,1,0,1,4,1
29,465189,443,1179215,36,0,0,0,2,0
23,1556706,739,490365,360,1,0,1,1,1
41,1017497,594,1142906,12,0,0,0,1,1
46,641572,456,215819,24,1,0,0,4,0
28,308689,691,535334,180,0,1,0,3,0
22,1376639,456,1035355,360,0,1,1,4,1
26,1667918,776,1103332,180,0,0,1,4,1
48,1559246,570,1138140,240,1,0,1,3,1
49,433823,699,1178426,24,1,1,1,1,1
46,8649467,274,2611178,60,0,1,0,2,1
45,7348328,229,5799676,120,1,0,1,1,1
32,608135,482,982037,360,1,1,0,2,0
25,633019,716,237114,24,0,1,1,2,1
54,1047916,493,1041563,360,1,1,0,4,0
57,1245113,666,267573,60,1,0,1,4,1
35,1143087,732,437215,24,1,0,0,4,1
56,1551032,775,954748,12,1,1,0,2,1
35,3055752,293,2654002,240,1,1,1,0,1
43,1406972,501,1123844,60,1,1,1,2,1
26,1103309,776,436075,12,1,1,0,4,1
41,318405,511,78459,12,1,0,0,0,0
43,416435,465,702866,60,0,0,0,0,0
36,346233,509,1011386,180,1,1,1,1,0
35,1107903,519,1032259,180,1,0,0,4,1
45,1614022,678,844278,60,1,0,1,4,1
56,1199898,641,219225,24,1,0,1,0,1
31,1690768,832,186526,24,1,1,1,4,1
35,922260,547,271317,120,0,1,1,2,0
24,1241015,641,299510,240,1,0,0,3,1
41,1222526,621,146236,240,0,0,0,3,1
33,1653959,670,1128254,24,1,1,0,4,1
42,1027051,849,1154759,180,1,0,1,0,1
39,1576664,685,1089648,60,0,1,1,0,1
54,423811,403,578714,24,1,0,1,3,1
34,1207529,719,799943,60,0,0,1,3,1
24,359269,720,1084470,240,0,0,1,4,1
47,927846,407,117010,120,1,1,0,1,0
49,1439444,451,449205,60,1,1,1,0,1
48,1082170,541,767223,120,1,1,1,4,1
55,1148327,713,1107816,240,1,1,1,2,1
28,1646004,666,885999,120,1,1,1,0,1
36,741856,714,407475,240,1,0,0,4,1
56,1239957,679,88275,120,0,1,0,0,0
50,1577873,487,166854,12,1,0,0,1,1
38,1554022,559,1148016,180,1,1,1,1,1
22,804254,701,526861,240,1,0,1,0,1
33,802542,427,212231,360,1,0,1,0,1
24,1255480,415,1156494,36,1,1,0,2,0
46,1594530,697,1000988,180,1,1,1,2,1
45,1231229,758,1183908,60,1,0,0,4,1
50,768089,671,120859,180,1,0,1,2,1
31,1336483,499,209670,240,1,1,0,4,1
27,474115,795,1079298,240,1,0,1,4,1
51,797730,603,363689,24,1,1,1,2,1
30,377080,589,454470,360,1,1,0,0,0
59,1544638,433,362308,36,1,0,0,3,1
33,1304554,693,695224,180,0,0,1,4,1
51,363131,782,1133704,36,1,0,0,2,1
27,1162447,830,666533,180,1,1,0,2,1
56,1687579,677,772842,240,1,1,1,0,1
40,9975159,243,5178586,240,1,1,1,0,1
24,1502737,743,379031,12,0,0,1,1,1
27,1153670,658,491594,60,1,1,0,1,1
21,638084,656,425265,240,0,1,0,2,0
33,661278,452,831137,60,0,0,0,2,0
42,1042886,591,200531,24,0,0,0,3,1
41,623540,571,1093639,12,1,1,0,3,0
42,303877,446,322683,180,1,0,1,0,1
48,1194839,821,883302,360,0,0,0,2,1
29,9957953,201,6429648,180,0,1,0,2,1
46,1380394,770,63467,180,1,0,1,2,1
29,1055244,440,96436,180,1,1,1,3,1
35,348555,804,1075281,360,0,1,1,4,1
30,1128800,828,1071293,36,1,1,1,4,1
44,1265684,796,570746,180,1,1,0,1,1
28,1733774,593,359087,60,1,1,1,4,1
44,1176098,465,249887,12,0,0,0,1,0
36,1185209,442,234240,120,1,1,0,4,0
46,822126,589,456234,60,1,1,0,1,0
47,672072,488,983244,180,0,0,1,0,1
57,1375196,575,1001316,36,0,1,1,0,1
24,683382,768,261090,120,0,0,1,3,1
44,1671259,425,590236,240,0,0,1,3,1
39,1365653,498,814306,360,1,0,1,2,1
56,383335,460,1034930,120,0,1,1,0,0
59,347285,780,522511,180,0,0,1,3,1
30,744451,649,373106,120,1,1,1,1,1
45,972979,774,398285,180,1,1,0,0,1
38,1406053,717,1021451,36,1,0,0,0,1
39,903035,624,207740,12,1,0,0,1,1
